Date,Tweet-text,Retweets,Likes,entities,topic,confidence,sentiment,sentiment_confidence
2019/04/10_17:08,From a big NBA fan congrats to future Hall of Famers Dwyane Wade and Dirk Nowitzki—not just all-time greats but class acts too.,20954,175133,"['NBA' 'ORG'],['Dwyane Wade' 'PERSON'],['Dirk Nowitzki' 'PERSON']",USA,0.5717242956161499,positive,0.8824763298034668
2019/04/04_12:23,Here’s a story about people doing good that's worth sharing: @BradPaisley and his wife @Kimwilliamspais saw food insecurity in Nashville and decided to do something about it. They just broke ground on a free grocery store to help families in need:https://apnews.com/2f5bdd226a674fd7bd9dca97c172475c …,15396,78627,"['@BradPaisley' 'PERSON'],['@Kimwilliamspais' 'PERSON'],['Nashville' 'GPE']",family,0.6450821757316589,positive,0.8164641261100769
2019/04/03_12:07,Great to see Chicago’s historic mayoral race between two highly qualified candidates. Congrats to our next mayor Lori Lightfoot—and Toni Preckwinkle campaigned hard and did us proud. I know that with our city’s heart and Lori’s leadership Chicago’s best days are still ahead.,8991,98094,"['Chicago' 'GPE'],['Lori Lightfoot' 'PERSON'],['Toni Preckwinkle' 'PERSON'],['Lori' 'PERSON'],['Chicago' 'GPE']",politics,0.6069708466529846,positive,0.9763973951339722
2019/04/02_06:08,Valerie is one of my oldest friends and advisors – she was by my side when I first decided to run for office and for every major moment of the presidency. @ValerieJarrett's voice has often inspired me and I know “Finding My Voice” will inspire others to lift their voices too.pic.twitter.com/nWTBDByMoz,6839,66187,"['Valerie' 'PERSON'],['@ValerieJarrett' 'PERSON'],['Finding My Voice' 'WORK_OF_ART']",family,0.807860791683197,positive,0.8658573627471924
2019/03/26_11:33,Last night I had the chance to meet with first-term Democrats in Congress—it's a young diverse class stocked with a bunch of my campaign and administration alums who’ve taken the torch. This group is going to be driving progress for a long time to come.pic.twitter.com/W5dDlDtNzE,14325,117989,"['Democrats' 'NORP'],['Congress' 'ORG']",politics,0.5769850611686707,positive,0.7819011211395264
2019/03/21_08:43,Just in the nick of time: My brackets have never been my one shining moment but here we go again. You can check out my #MarchMadness picks here: https://go.obama.org/2019-bracket pic.twitter.com/EcCUdnZjun,8457,59574,['#MarchMadness' 'EVENT'],USA,0.4360155165195465,neutral,0.5896584391593933
2019/03/20_07:20,And here are some ways to help cyclone victims in Mozambique Malawi and Zimbabwe:https://www.pbs.org/newshour/world/how-to-help-cyclone-victims-in-mozambique-malawi-and-zimbabwe …,8402,37269,"['Mozambique' 'GPE'],['Malawi' 'GPE'],['Zimbabwe' 'GPE'],['mozambique' 'GPE'],['zimbabwe' 'GPE']",climate change,0.7063242793083191,neutral,0.7800565361976624
2019/03/20_07:19,The floods in the Midwest and in southern Africa are heartbreaking. Suffering and loss on two sides of the world calls for solidarity and strength from all of us. Ask what you can do to help our fellow Americans and families in need. Here are some ideas:https://www.pbs.org/newshour/nation/how-to-help-those-affected-by-the-midwest-flooding …,18792,86957,"['Midwest' 'LOC'],['Africa' 'LOC'],['Americans' 'NORP'],['midwest' 'LOC']",USA,0.42692553997039795,neutral,0.5784199833869934
2019/03/17_06:56,In 2011 I visited the tiny town of Moneygall and got to walk around in the house where my great-great-great grandfather Falmouth Kearney lived his early life. I'll always be grateful for the warmth and generosity of the Irish people. Happy St. Patrick's Day! -Barack O’Bamapic.twitter.com/abDtarFbR5,23726,244904,"['Moneygall' 'GPE'],['Falmouth Kearney' 'PERSON'],['Irish' 'NORP'],['-Barack O’Bamapic.twitter.com/abDtarFbR5' 'PERSON']",family,0.7337457537651062,positive,0.9704992175102234
2019/03/15_06:15,Michelle and I send our condolences to the people of New Zealand. We grieve with you and the Muslim community. All of us must stand against hatred in all its forms.,111063,669878,"['Michelle' 'PERSON'],['New Zealand' 'GPE'],['Muslim' 'NORP']",family,0.7765297889709473,neutral,0.5624510645866394
2019/03/14_13:36,. @MichelleObama and I are rooting hard for Team USA as the Special Olympics World Games get underway this week. Our Special Olympians are terrific examples of America’s heart and drive.,13764,150080,"['@MichelleObama' 'PERSON'],['Team USA' 'ORG'],['the Special Olympics World Games' 'EVENT'],['America' 'GPE']",USA,0.948502242565155,positive,0.8890145421028137
2019/03/12_11:48,What a great moment. Happy 110th Virginia.https://twitter.com/MichelleObama/status/1105480037271289856 …,21986,253052,,family,0.5147920250892639,positive,0.9833715558052063
2019/03/10_18:02,Michelle and I send our deepest sympathies to all who knew the victims of today’s plane crash in Ethiopia.,35181,371801,"['Michelle' 'PERSON'],['Ethiopia' 'GPE']",family,0.5560070276260376,neutral,0.6416890025138855
2019/03/08_08:03,The Crew Dragon’s been on quite a ride since I last saw it—congrats to @NASA and @SpaceX on a successful return! We invested in the @Commercial_Crew program to strengthen the U.S. space program for the long haul and it’s great to see that happening.pic.twitter.com/Dsu5mZcaCZ,10923,130875,"['The Crew Dragon' 'PRODUCT'],['@NASA' 'ORG'],['@SpaceX' 'ORG'],['U.S.' 'GPE']",USA,0.564125120639801,positive,0.9745571613311768
2019/02/21_11:01,It’s up to all of us as citizens to make sure that the rules of democracy are fair—everywhere—because the next decade of our nation's progress is on the line. Join me and @allontheline in the fight against gerrymandering: http://allontheline.org .pic.twitter.com/rKchS3ltLI,21437,99024,['@allontheline' 'ORG'],politics,0.5364865660667419,neutral,0.5828182101249695
2019/02/20_20:41,Zion Williamson seems like an outstanding young man as well as an outstanding basketball player. Wishing him a speedy recovery.,32770,313064,['Zion Williamson' 'PERSON'],health,0.818465530872345,positive,0.9499024748802185
2019/02/14_10:32,Happy Valentine’s Day to the extraordinarily smart beautiful funny one and only @MichelleObama. It’s true; she does get down to Motown.pic.twitter.com/uypbZsEiqB,38486,421878,['@MichelleObama' 'PERSON'],USA,0.46148747205734253,positive,0.9769470691680908
2019/02/13_19:10,Don’t be sad it’s over be proud it taught us so much. Congrats to all the men and women of @NASA on a @MarsRovers mission that beat all expectations inspired a new generation of Americans and demands we keep investing in science that pushes the boundaries of human knowledge.,35599,298673,"['@NASA' 'ORG'],['@MarsRovers' 'PRODUCT'],['Americans' 'NORP']",USA,0.780487060546875,positive,0.957038402557373
2019/02/12_17:18,Happy 85th birthday to @RealBillRussell - the greatest champion in American sports and a lifelong warrior for justice.,12377,129038,"['@RealBillRussell' 'PERSON'],['American' 'NORP']",USA,0.6050808429718018,positive,0.9627336263656616
2019/02/07_20:03,We lost two great Americans today – Frank Robinson and John Dingell – citizens who inspired me and so many others by leading on the civil rights issues of our time opening doors to others and leaving it all on the field.,29136,241969,"['Americans' 'NORP'],['Frank Robinson' 'PERSON'],['John Dingell' 'PERSON']",USA,0.6998876929283142,neutral,0.5363540649414062
2019/02/01_08:08,As we celebrate Black History Month and Jackie Robinson’s 100th birthday we celebrate the life of all whose courage opened the gates for everybody and in the process made America better.pic.twitter.com/Fl9aDxqcGi,40360,250601,"['Jackie Robinson’s' 'PERSON'],['America' 'GPE']",USA,0.5313900709152222,positive,0.9205790162086487
2019/01/21_08:14,"I’ve always drawn inspiration from what Dr. King called life’s most persistent and urgent question: ""What are you doing for others?"" Let’s honor his legacy by standing up for what is right in our communities and taking steps to make a positive impact on the world.",162936,770070,['King' 'PERSON'],USA,0.4630735516548157,positive,0.8880981802940369
2018/12/29_08:15,Leaders like Moussa Kondo and Sandor Lederer who are each doing their part to fight corruption in their native countries of Mali and Hungary. Two people separated by continents but united in their pursuit of a more just transparent society.https://www.obama.org/fellowship/moussa-kondo-sandor-lederer/ …,3841,27248,"['Moussa Kondo' 'PERSON'],['Sandor Lederer' 'PERSON'],['Mali' 'GPE'],['Hungary' 'GPE']",politics,0.5613315105438232,neutral,0.5967079997062683
2018/12/29_08:15,Leaders like Dejah Powell who started an organization to bring health and wellness resources to communities on the South Side of Chicago expanding food access and providing people the space and time to take care of themselves.pic.twitter.com/tPW7NxTGLO,5169,35342,"['Dejah Powell' 'PERSON'],['the South Side' 'LOC']",health,0.9734089970588684,positive,0.5138150453567505
2018/12/25_06:14,Enjoy the holiday season with the ones you love. Michelle and I wish you a very Merry Christmas!pic.twitter.com/LKLqlYfFUw,93008,932946,['Michelle' 'PERSON'],family,0.9078690409660339,positive,0.9813543558120728
