Date,Tweet-text,Retweets,Likes,entities,topic,confidence,sentiment,sentiment_confidence
2019/04/10_17:08,From a big NBA fan congrats to future Hall of Famers Dwyane Wade and Dirk Nowitzki—not just all-time greats but class acts too.,20954,175133,"[['NBA', 'ORG'],['Dwyane Wade', 'PERSON'],['Dirk Nowitzki', 'PERSON']]",USA,0.4825381338596344,positive,0.9591541886329652
2019/04/04_12:23,Here’s a story about people doing good that's worth sharing: @BradPaisley and his wife @Kimwilliamspais saw food insecurity in Nashville and decided to do something about it. They just broke ground on a free grocery store to help families in need:https://apnews.com/2f5bdd226a674fd7bd9dca97c172475c …,15396,78627,"[['@BradPaisley', 'PERSON'],['@Kimwilliamspais', 'PERSON'],['Nashville', 'GPE']]",americans,0.5865434408187866,positive,0.8907191157341003
2019/04/03_12:07,Great to see Chicago’s historic mayoral race between two highly qualified candidates. Congrats to our next mayor Lori Lightfoot—and Toni Preckwinkle campaigned hard and did us proud. I know that with our city’s heart and Lori’s leadership Chicago’s best days are still ahead.,8991,98094,"[['Chicago', 'GPE'],['Lori Lightfoot', 'PERSON'],['Toni Preckwinkle', 'PERSON'],['Lori', 'PERSON'],['Chicago', 'GPE']]",politics,0.6361130475997925,positive,0.989801585674286
2019/03/26_11:33,Last night I had the chance to meet with first-term Democrats in Congress—it's a young diverse class stocked with a bunch of my campaign and administration alums who’ve taken the torch. This group is going to be driving progress for a long time to come.pic.twitter.com/W5dDlDtNzE,14325,117989,"[['Democrats', 'NORP'],['Congress', 'ORG']]",politics,0.6419346928596497,positive,0.8933044672012329
2019/03/20_07:20,And here are some ways to help cyclone victims in Mozambique Malawi and Zimbabwe:https://www.pbs.org/newshour/world/how-to-help-cyclone-victims-in-mozambique-malawi-and-zimbabwe …,8402,37269,"[['Mozambique', 'GPE'],['Malawi', 'GPE'],['Zimbabwe', 'GPE'],['mozambique', 'GPE'],['zimbabwe', 'GPE']]",climate change,0.7957107424736023,neutral,0.7446312308311462
2019/03/20_07:19,The floods in the Midwest and in southern Africa are heartbreaking. Suffering and loss on two sides of the world calls for solidarity and strength from all of us. Ask what you can do to help our fellow Americans and families in need. Here are some ideas:https://www.pbs.org/newshour/nation/how-to-help-those-affected-by-the-midwest-flooding …,18792,86957,"[['Midwest', 'LOC'],['Africa', 'LOC'],['Americans', 'NORP'],['midwest', 'LOC']]",americans,0.6462230682373047,neutral,0.5600812435150146
2019/03/14_13:36,. @MichelleObama and I are rooting hard for Team USA as the Special Olympics World Games get underway this week. Our Special Olympians are terrific examples of America’s heart and drive.,13764,150080,"[['@MichelleObama', 'PERSON'],['Team USA', 'ORG'],['the Special Olympics World Games', 'EVENT'],['America', 'GPE']]",USA,0.6078354120254517,positive,0.9688711166381836
2019/03/12_11:48,What a great moment. Happy 110th Virginia.https://twitter.com/MichelleObama/status/1105480037271289856 …,21986,253052,[],americans,0.5924989581108093,positive,0.9833715558052064
2019/03/08_08:03,The Crew Dragon’s been on quite a ride since I last saw it—congrats to @NASA and @SpaceX on a successful return! We invested in the @Commercial_Crew program to strengthen the U.S. space program for the long haul and it’s great to see that happening.pic.twitter.com/Dsu5mZcaCZ,10923,130875,"[['The Crew Dragon', 'PRODUCT'],['@NASA', 'ORG'],['@SpaceX', 'ORG'],['U.S.', 'GPE']]",USA,0.4703087210655212,positive,0.9860517978668212
2019/03/08_05:31,And @SeforaKodjo is helping the next generation of women leaders in Africa rise up. Her organization is training and mentoring young women across the continent to adopt a new model of leadership one that puts gender equality at the heart of economic development.pic.twitter.com/cRb4EKcrvv,3989,39995,"[['@SeforaKodjo', 'PERSON'],['Africa', 'LOC']]",business,0.410102903842926,positive,0.7862762212753296
